Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.6321001052856445,1.3050953149795532,1.5921342372894287,0.8744536638259888,0.6806334853172302,0.3929609954357147,0.1916380673646927,2.595186233520508
Norway,Western Europe,2,7.593699932098389,1.4556267261505127,1.5823396444320679,0.8607627153396606,0.6864202618598938,0.33968719840049744,0.285636305809021,2.383241653442383
Denmark,Western Europe,3,7.555300235748291,1.351153016090393,1.590452790260315,0.8679331541061401,0.6832507848739624,0.40791699290275574,0.2843916714191437,2.3701791763305664
Iceland,Western Europe,4,7.495200157165527,1.3433012962341309,1.6443780660629272,0.9138023853302002,0.6765021681785583,0.13801898062229156,0.3532332181930542,2.4259896278381348
Switzerland,Western Europe,5,7.487299919128418,1.419727087020874,1.548998236656189,0.9270759224891663,0.6597794890403748,0.35667726397514343,0.255525141954422,2.319528579711914
Netherlands,Western Europe,6,7.441299915313721,1.3609089851379395,1.4882769584655762,0.8777100443840027,0.6380650401115417,0.2945946156978607,0.333357572555542,2.44842529296875
Canada,North America,7,7.328499794006348,1.3304117918014526,1.5319098234176636,0.8958456516265869,0.6530670523643494,0.29090696573257446,0.3206372857093811,2.3057498931884766
New Zealand,Australia and New Zealand,8,7.323800086975098,1.2680160999298096,1.600624680519104,0.8760755658149719,0.6688672304153442,0.38884034752845764,0.36517027020454407,2.156167984008789
Sweden,Western Europe,9,7.314499855041504,1.3554390668869019,1.5014808177947998,0.9134620428085327,0.6594042778015137,0.3832118809223175,0.2846675217151642,2.216858386993408
Australia,Australia and New Zealand,10,7.27209997177124,1.3399512767791748,1.5725363492965698,0.9104446768760681,0.6465258002281189,0.3023518919944763,0.36100485920906067,2.1392364501953125
Israel,Middle East and Northern Africa,11,7.190000057220459,1.2438241243362427,1.432910442352295,0.8883513808250427,0.46404775977134705,0.08168274909257889,0.26245567202568054,2.8167266845703125
Austria,Western Europe,12,7.139400005340576,1.3413516283035278,1.5041015148162842,0.8913583755493164,0.6172422170639038,0.22382000088691711,0.24201059341430664,2.3194780349731445
Costa Rica,Latin America and Caribbean,13,7.071700096130371,1.010085940361023,1.4588936567306519,0.8166993856430054,0.6315194368362427,0.10061432421207428,0.14329899847507477,2.9105424880981445
Ireland,Western Europe,14,6.977099895477295,1.4475821256637573,1.5826349258422852,0.8762854933738708,0.6139653921127319,0.3058188855648041,0.30651047825813293,1.8442978858947754
Germany,Western Europe,15,6.964700222015381,1.3396198749542236,1.4743528366088867,0.8605249524116516,0.5861545205116272,0.2798430323600769,0.27349531650543213,2.1507568359375
