Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual
Finland,Western Europe,1,7.808700084686280,1.2851895093917800,1.4995259046554600,0.9612714052200320,0.6623167395591740,0.15967044234275800,0.4778572618961330,2.7628350257873500
Denmark,Western Europe,2,7.645599842071530,1.3269485235214200,1.5034492015838600,0.9793325662612920,0.6650398969650270,0.24279339611530300,0.4952603280544280,2.4327406883239700
Switzerland,Western Europe,3,7.559899806976320,1.3907742500305200,1.4724034070968600,1.040533185005190,0.6289544701576230,0.2690557539463040,0.4079459011554720,2.3502674102783200
Iceland,Western Europe,4,7.504499912261960,1.3265016078949000,1.5475674867630000,1.0008434057235700,0.6619807481765750,0.36233022809028600,0.14454077184200300,2.4606881141662600
Norway,Western Europe,5,7.48799991607666,1.424207329750060,1.4951725006103500,1.0080718994140600,0.6702008843421940,0.28798508644104000,0.43410056829452500,2.1682662963867200
Netherlands,Western Europe,6,7.44890022277832,1.3389463424682600,1.4636459350585900,0.9756753444671630,0.6136264801025390,0.3363175690174100,0.3685697615146640,2.3521170616149900
Sweden,Western Europe,7,7.353499889373780,1.3222352266311600,1.4333477020263700,0.9864704608917240,0.6502977013587950,0.2728278934955600,0.44206637144088700,2.2462992668151900
New Zealand,Australia and New Zealand,8,7.299600124359130,1.2423179149627700,1.4872183799743700,1.0081382989883400,0.6467899084091190,0.3257262110710140,0.46126827597618100,2.128108024597170
Austria,Western Europe,9,7.2941999435424800,1.3172855377197300,1.4374449253082300,1.0009335279464700,0.603368878364563,0.25550976395607000,0.28125613927841200,2.3984460830688500
Luxembourg,Western Europe,10,7.237500190734860,1.536676049232480,1.387528419494630,0.9864426851272580,0.6101370453834530,0.19595392048358900,0.3670414686203000,2.153700351715090
Canada,North America,11,7.232100009918210,1.301647663116460,1.435391902923580,1.0225019454956100,0.6440281271934510,0.28152891993522600,0.35170185565948500,2.1952691078186000
Australia,Australia and New Zealand,12,7.222799777984620,1.310396432876590,1.4771462678909300,1.022607684135440,0.6218771934509280,0.32497361302375800,0.3359964191913610,2.1298041343689000
United Kingdom,Western Europe,13,7.1645002365112300,1.2730610370636000,1.4578449726104700,0.9757000803947450,0.5251686573028560,0.3734334409236910,0.32260164618492100,2.236721992492680
Israel,Middle East and Northern Africa,14,7.128600120544430,1.2164636850357100,1.4032567739486700,1.008052945137020,0.42069947719574000,0.26686179637908900,0.09989845007658010,2.7133584022522000
Costa Rica,Latin America and Caribbean,15,7.121399879455570,0.9811077117919920,1.3748536109924300,0.9396353363990780,0.6450177431106570,0.13126631081104300,0.09636209160089490,2.9531350135803200
Ireland,Western Europe,16,7.093699932098390,1.4468867778778100,1.470596432685850,0.9756706953048710,0.5877799391746520,0.29542699456214900,0.37343326210975600,1.943878173828130
Germany,Western Europe,17,7.075799942016600,1.314184546470640,1.3685437440872200,0.9721148014068600,0.5642741322517400,0.2520377039909360,0.3093622922897340,2.2952494621276900
United States,North America,18,6.939599990844730,1.373986840248110,1.4047867059707600,0.8316180109977720,0.5346082448959350,0.29814305901527400,0.15228474140167200,2.3441247940063500
Czech Republic,Central and Eastern Europe,19,6.910900115966800,1.2123223543167100,1.4052866697311400,0.8945644497871400,0.5057445764541630,0.0463259294629097,0.049803223460912700,2.7968082427978500
Belgium,Western Europe,20,6.863500118255620,1.2958427667617800,1.3986775875091600,0.9649011492729190,0.49980542063713100,0.14696615934371900,0.20872405171394300,2.3486266136169400
United Arab Emirates,Middle East and Northern Africa,21,6.790800094604490,1.4310864210128800,1.2511709928512600,0.7878144383430480,0.6529361009597780,0.28065598011016800,0.22021351754665400,2.166965961456300
Malta,Western Europe,22,6.772799968719480,1.2525132894516000,1.4429569244384800,0.9720420241355900,0.6332390308380130,0.34118083119392400,0.17886407673358900,1.952012062072750
France,Western Europe,23,6.66379976272583,1.2681293487548800,1.4588391780853300,1.0297142267227200,0.5140509009361270,0.11260770261287700,0.22730323672294600,2.0531983375549300
Mexico,Latin America and Caribbean,24,6.465000152587890,1.0243874788284300,1.226333498954770,0.8316010236740110,0.5538925528526310,0.08309448510408400,0.08313366770744320,2.6625401973724400
Taiwan Province of China,Eastern Asia,25,6.455399990081790,1.3274705410003700,1.3577606678009000,0.8784379959106450,0.44940438866615300,0.1505987048149110,0.13151635229587600,2.160238742828370
Uruguay,Latin America and Caribbean,26,6.440100193023680,1.0710004568100000,1.4250811338424700,0.8569288849830630,0.5942670702934270,0.13214369118213700,0.19342507421970400,2.167276382446290
Saudi Arabia,Middle East and Northern Africa,27,6.406499862670900,1.334328532218930,1.3099501132965100,0.7598181366920470,0.5484774708747860,0.08744068443775180,0.163322314620018,2.2031188011169400
Spain,Western Europe,28,6.400899887084960,1.2305352687835700,1.4210991859436000,1.0513430833816500,0.42598381638526900,0.1653054803609850,0.10957977920770600,1.9970884323120100
Guatemala,Latin America and Caribbean,29,6.398900032043460,0.7538157105445860,1.174267053604130,0.7059525847435000,0.6131467223167420,0.1706116646528240,0.09836030006408690,2.882723093032840
Italy,Western Europe,30,6.387400150299070,1.236396074295040,1.3472959995269800,1.0225049257278400,0.3213055729866030,0.17026621103286700,0.040145598351955400,2.2495059967041000
Singapore,Southeastern Asia,31,6.377099990844730,1.5195801258087200,1.3954569101333600,1.1378142833709700,0.6353172063827520,0.21877090632915500,0.5331622362136840,0.9370317459106450
Brazil,Latin America and Caribbean,32,6.3755998611450200,0.9526798725128170,1.363464117050170,0.7661190629005430,0.48329272866249100,0.13167458772659300,0.10651860386133200,2.5718603134155300
Slovenia,Central and Eastern Europe,33,6.363399982452390,1.2086524963378900,1.4646776914596600,0.9325480461120610,0.6467001438140870,0.14570149779319800,0.07651632279157640,1.8885865211486800
